planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,recomendacion
Tomate,15,muy bajo,834,bajo,50,medio,riego
Tomate,25,bajo,1642,medio,42,medio,estable
Tomate,46,medio,2054,medio,52,medio,estable
Tomate,71,alto,2294,medio,32,bajo,ventilación
Tomate,37,bajo,1591,bajo,45,medio,riego
Tomate,25,bajo,1184,bajo,48,medio,riego
Tomate,99,muy alto,2390,medio,48,medio,ventilación
Tomate,80,alto,3834,muy alto,51,medio,alerta exceso humedad
Tomate,52,medio,2223,medio,51,medio,estable
Tomate,55,medio,2512,alto,48,medio,estable
Tomate,44,medio,857,bajo,39,medio,riego
Tomate,38,bajo,1296,bajo,56,alto,riego
Tomate,49,medio,2453,medio,59,alto,estable
Tomate,87,muy alto,1917,medio,39,medio,ventilación
Tomate,30,bajo,2224,medio,43,medio,estable
Tomate,41,medio,2565,alto,58,alto,estable
Tomate,33,bajo,1142,bajo,42,medio,riego
Tomate,54,medio,2366,medio,38,medio,estable
Tomate,44,medio,1732,medio,37,medio,estable
Tomate,62,medio,1811,medio,48,medio,ventilación
Tomate,75,alto,2647,alto,49,medio,ventilación
Tomate,41,medio,2068,medio,57,alto,estable
Tomate,51,medio,2369,medio,44,medio,estable
Tomate,43,medio,1023,bajo,57,alto,riego
Tomate,23,bajo,4069,muy alto,30,bajo,alerta exceso humedad
Tomate,34,bajo,1855,medio,45,medio,estable
Tomate,29,bajo,1793,medio,38,medio,estable
Tomate,44,medio,1191,bajo,42,medio,riego
Tomate,60,medio,2500,alto,90,muy alto,alerta calor
Tomate,48,medio,1683,medio,58,alto,estable
Tomate,41,medio,2612,alto,49,medio,estable
Tomate,76,alto,1941,medio,50,medio,ventilación
Tomate,30,bajo,1767,medio,56,alto,estable
Tomate,47,medio,2182,medio,47,medio,estable
Tomate,64,medio,2826,alto,61,alto,ventilación
Tomate,34,bajo,853,bajo,54,medio,riego
Tomate,52,medio,1398,bajo,51,medio,riego
Tomate,37,bajo,1999,medio,45,medio,estable
Tomate,24,bajo,2371,medio,52,medio,estable
Tomate,79,alto,2000,medio,56,alto,ventilación
Tomate,41,medio,988,bajo,52,medio,riego
Tomate,76,alto,2241,medio,48,medio,ventilación
Tomate,60,medio,2500,alto,10,muy bajo,estable
Tomate,54,medio,1165,bajo,38,medio,riego
Tomate,41,medio,2026,medio,53,medio,estable
Tomate,26,bajo,1333,bajo,54,medio,riego
Tomate,24,bajo,3214,alto,44,medio,estable
Tomate,46,medio,2340,medio,65,alto,estable
