planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,recomendacion
Lechuga,57,medio,2768,alto,57,alto,alerta calor
Lechuga,32,bajo,2509,alto,97,muy alto,alerta calor
Lechuga,66,alto,3094,alto,28,bajo,estable
Lechuga,40,bajo,329,muy bajo,17,muy bajo,riego
Lechuga,79,alto,2694,alto,61,alto,alerta calor
Lechuga,52,medio,2005,medio,50,medio,riego
Lechuga,34,bajo,1950,medio,78,alto,alerta calor
Lechuga,94,muy alto,483,muy bajo,69,alto,riego
Lechuga,45,medio,2800,alto,46,medio,ventilación
Lechuga,56,medio,2937,alto,21,bajo,estable
Lechuga,80,alto,3838,muy alto,45,medio,alerta exceso humedad
Lechuga,44,medio,2489,alto,30,bajo,estable
Lechuga,81,alto,3712,muy alto,31,bajo,alerta exceso humedad
Lechuga,72,alto,2343,medio,25,bajo,riego
Lechuga,31,bajo,911,bajo,21,bajo,riego
Lechuga,63,medio,3842,muy alto,33,bajo,alerta exceso humedad
Lechuga,82,alto,102,muy bajo,52,medio,riego
Lechuga,22,bajo,2209,medio,96,muy alto,alerta calor
Lechuga,93,muy alto,524,muy bajo,10,muy bajo,riego
Lechuga,83,alto,2733,alto,61,alto,alerta calor
Lechuga,1,muy bajo,718,muy bajo,87,muy alto,riego
Lechuga,88,muy alto,3919,muy alto,18,muy bajo,alerta exceso humedad
Lechuga,63,medio,2853,alto,46,medio,ventilación
Lechuga,72,alto,2537,alto,42,medio,estable
Lechuga,38,bajo,2439,medio,27,bajo,riego
Lechuga,83,alto,2563,alto,47,medio,ventilación
Lechuga,96,muy alto,2645,alto,47,medio,ventilación
Lechuga,37,bajo,1353,bajo,52,medio,riego
Lechuga,65,medio,37,muy bajo,25,bajo,riego
Lechuga,46,medio,3286,muy alto,38,medio,alerta exceso humedad
Lechuga,19,muy bajo,3204,alto,30,bajo,estable
Lechuga,73,alto,3855,muy alto,44,medio,alerta exceso humedad
Lechuga,79,alto,2497,alto,49,medio,ventilación
Lechuga,22,bajo,1921,medio,100,muy alto,alerta calor
Lechuga,84,alto,3379,muy alto,44,medio,alerta exceso humedad
Lechuga,86,muy alto,1283,bajo,57,alto,riego
Lechuga,49,medio,2309,medio,18,muy bajo,riego
Lechuga,66,alto,3422,muy alto,39,medio,alerta exceso humedad
Lechuga,82,alto,2893,alto,25,bajo,estable
Lechuga,40,bajo,2694,alto,36,medio,estable
Lechuga,64,medio,2588,alto,44,medio,estable
Lechuga,59,medio,2209,medio,39,medio,riego
Lechuga,36,bajo,3055,alto,42,medio,estable
Lechuga,80,alto,742,muy bajo,63,alto,riego
